canonical_variable,display_name,description,data_type,level,unit,allowed_values,minimum,maximum,missing_allowed,source_ids,source_variables,harmonization_method,derivation_method,reference_year,quality_flag,sensitivity_class,notes
school_enrollment_status,school enrollment status,Canonical school enrollment status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
highest_qualification,highest qualification,Canonical highest qualification field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
labour_force_status,labour force status,Canonical labour force status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
employment_status,employment status,Canonical employment status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
employment_sector,employment sector,Canonical employment sector field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
employment_type,employment type,Canonical employment type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
occupation_category,occupation category,Canonical occupation category field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
occupation_subcategory,occupation subcategory,Canonical occupation subcategory field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
occupation_code,occupation code,Canonical occupation code field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
occupation_group,occupation group,Canonical occupation group field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
industry_group,industry group,Canonical industry group field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
industry_sector,industry sector,Canonical industry sector field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
is_government_employee,is government employee,Canonical is government employee field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
government_employment_type,government employment type,Canonical government employment type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
government_department,government department,Canonical government department field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
government_job_level,government job level,Canonical government job level field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
government_service_type,government service type,Canonical government service type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
healthcare_worker,healthcare worker,Canonical healthcare worker field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
healthcare_occupation,healthcare occupation,Canonical healthcare occupation field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
medical_specialization,medical specialization,Canonical medical specialization field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
healthcare_employment_sector,healthcare employment sector,Canonical healthcare employment sector field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
education_worker,education worker,Canonical education worker field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
education_occupation,education occupation,Canonical education occupation field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
teacher_type,teacher type,Canonical teacher type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
teaching_level,teaching level,Canonical teaching level field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
is_student,is student,Canonical is student field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
currently_studying,currently studying,Canonical currently studying field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
student_level,student level,Canonical student level field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
school_type,school type,Canonical school type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
education_board,education board,Canonical education board field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
institution_type,institution type,Canonical institution type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
school_attendance_status,school attendance status,Canonical school attendance status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
not_studying_reason,not studying reason,Canonical not studying reason field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
actively_seeking_work,actively seeking work,Canonical actively seeking work field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
duration_of_unemployment,duration of unemployment,Canonical duration of unemployment field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
previous_occupation,previous occupation,Canonical previous occupation field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
previous_employment_sector,previous employment sector,Canonical previous employment sector field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
self_employed,self employed,Canonical self employed field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
business_owner,business owner,Canonical business owner field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
business_type,business type,Canonical business type field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
business_size,business size,Canonical business size field for the Tamil Nadu reference template.,string,PERSON,,,0,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
number_of_workers,number of workers,Canonical number of workers field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
it_sector_worker,it sector worker,Canonical it sector worker field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
it_occupation,it occupation,Canonical it occupation field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
technology_specialization,technology specialization,Canonical technology specialization field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
public_safety_worker,public safety worker,Canonical public safety worker field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
police_employee,police employee,Canonical police employee field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
defence_employee,defence employee,Canonical defence employee field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
service_category,service category,Canonical service category field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
legal_profession,legal profession,Canonical legal profession field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
retired,retired,Canonical retired field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
pension_status,pension status,Canonical pension status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
unpaid_domestic_work,unpaid domestic work,Canonical unpaid domestic work field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
caregiving_responsibility,caregiving responsibility,Canonical caregiving responsibility field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
formal_informal_status,formal informal status,Canonical formal informal status field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
full_time_part_time,full time part time,Canonical full time part time field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
work_experience_years,work experience years,Canonical work experience years field for the Tamil Nadu reference template.,string,PERSON,,,,,YES,SRC_PLFS_2024_OPENCITY_PUBLIC_MIRROR,See PLFS layout workbook in data/raw/plfs.,Mapped by data_foundation harmonizer modules.,Derived from PLFS source fields or left null if unsupported.,2024,A,LOW,Do not impute unsupported variables during Phase 1.
