district,district_code,urban_rural,age,gender,marital_status,relationship_to_head,household_size,household_type,literacy_status,education_level,labour_force_status,employment_status,individual_income,consumption_expenditure,social_group,training_split,survey_weight,normalized_reference_weight,calibrated_reference_weight_gender_ur
Kallakurichi,34,Rural,28,Male,2,1,4,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,8733.0,Other Backward Class,holdout,7113637,2.808456147043259,2.817400862076882
Kallakurichi,34,Rural,42,Male,2,1,3,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,11087.0,Other Backward Class,train,367971,0.14527455039997894,0.14573723857701656
Kallakurichi,34,Rural,28,Male,2,1,4,Casual labour in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,15313.0,Other Backward Class,train,367971,0.14527455039997894,0.14573723857701656
Kallakurichi,34,Rural,40,Male,2,1,2,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,8483.0,Other Backward Class,holdout,1442948,0.5696743002860248,0.5714886687544097
Kallakurichi,34,Rural,43,Male,2,1,5,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,13125.0,Scheduled Caste,train,574168,0.2266809016309848,0.2274028627236615
Kallakurichi,34,Rural,35,Male,1,5,5,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,9008.0,Scheduled Caste,train,2072458,0.8182041632977587,0.8208100801064393
Kallakurichi,34,Rural,32,Male,1,5,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,9008.0,Scheduled Caste,train,2072458,0.8182041632977587,0.8208100801064393
Kallakurichi,34,Rural,31,Male,1,5,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,9008.0,Scheduled Caste,validation,2072458,0.8182041632977587,0.8208100801064393
Kallakurichi,34,Rural,35,Male,2,1,4,Self-employed in agriculture,Literate,Higher Secondary,Employed,Employed,0.0,9517.0,Other Backward Class,train,2631921,1.0390795469296847,1.0423889347064308
Kallakurichi,34,Rural,36,Male,2,3,5,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,17000.0,13842.0,Other Backward Class,train,2631921,1.0390795469296847,1.0423889347064308
Kallakurichi,34,Rural,27,Male,2,3,4,Regular wage/salary earning,Literate,Higher Secondary,Employed,Employed,15000.0,9067.0,Scheduled Caste,train,1625052,0.6415687613333295,0.6436121080847619
Kallakurichi,34,Rural,41,Male,2,1,3,Casual labour in non-agriculture,Literate,Middle,Employed,Employed,0.0,8900.0,Scheduled Tribe,holdout,156293,0.0617043063330097,0.06190082976353477
Kallakurichi,34,Rural,25,Male,1,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,0.0,13300.0,Scheduled Caste,train,156293,0.0617043063330097,0.06190082976353477
Kallakurichi,34,Rural,14,Male,1,5,4,Casual labour in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8903.0,Other Backward Class,train,10315390,4.072504747522057,4.085475359321715
Kallakurichi,34,Rural,1,Male,1,5,5,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,8375.0,Scheduled Caste,validation,2901441,1.1454857496570798,1.149134032937752
Kallakurichi,34,Rural,12,Male,1,5,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,11158.0,Scheduled Caste,holdout,1148336,0.4533618032619696,0.454805725447323
Kallakurichi,34,Rural,10,Male,1,5,4,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,9183.0,Scheduled Tribe,holdout,746731,0.29480858626013107,0.2957475287450755
Kallakurichi,34,Rural,13,Male,1,5,4,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,12433.0,Other Backward Class,train,1379384,0.5445793022518747,0.5463137450976284
Kallakurichi,34,Rural,12,Male,1,5,3,Casual labour in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,9933.0,Other Backward Class,train,426973,0.16856847579817488,0.16910535332117066
Kallakurichi,34,Rural,1,Male,1,5,4,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,15313.0,Other Backward Class,train,367971,0.14527455039997894,0.14573723857701656
Kallakurichi,34,Rural,14,Male,1,5,5,Casual labour in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,13125.0,Scheduled Caste,train,574168,0.2266809016309848,0.2274028627236615
Kallakurichi,34,Rural,11,Male,1,5,4,Casual labour in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,8367.0,Other Backward Class,train,1625052,0.6415687613333295,0.6436121080847619
Kallakurichi,34,Rural,14,Male,1,5,3,Casual labour in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8900.0,Scheduled Tribe,train,156293,0.0617043063330097,0.06190082976353477
Kallakurichi,34,Rural,9,Male,1,6,6,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,17400.0,Scheduled Caste,train,2488888,0.9826102741680807,0.9857398116902517
Kallakurichi,34,Rural,11,Male,1,5,4,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,8750.0,Scheduled Caste,train,580705,0.2292617021178837,0.22999188285997105
Kallakurichi,34,Rural,4,Male,1,5,4,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,14400.0,Other Backward Class,validation,4051354,1.5994701508030695,1.6045643391950735
Kallakurichi,34,Rural,56,Female,2,2,6,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,12817.0,Other Backward Class,train,2903525,1.1463085105894184,1.0604169293161243
Kallakurichi,34,Rural,50,Female,2,2,4,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,8600.0,Scheduled Caste,holdout,1717200,0.6779486914643922,0.6271507739804715
Kallakurichi,34,Rural,54,Female,2,2,4,Casual labour in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,7355.0,Scheduled Caste,train,2164422,0.8545114504290372,0.7904838880272305
Kallakurichi,34,Rural,50,Female,2,2,2,Self-employed in non-agriculture,Literate,Middle,Employed,Employed,0.0,7183.0,Other Backward Class,train,2083901,0.8227218472462953,0.761076243331399
Kallakurichi,34,Rural,54,Female,2,2,2,Self-employed in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,7437.0,Other Backward Class,train,2083901,0.8227218472462953,0.761076243331399
Kallakurichi,34,Rural,47,Female,2,2,2,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,7933.0,Other Backward Class,train,6060269,2.3925876068438274,2.2133137630327613
Kallakurichi,34,Rural,50,Female,2,2,2,Self-employed in non-agriculture,Literate,Below Primary,Employed,Employed,0.0,9133.0,Other Backward Class,train,2411367,0.952005067720951,0.880672420452462
Kallakurichi,34,Rural,47,Female,2,2,3,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,7550.0,Other Backward Class,train,3701995,1.4615435977508284,1.352031813138735
Kallakurichi,34,Rural,56,Female,2,2,2,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,8067.0,Scheduled Caste,train,5887543,2.3243955699920464,2.1502312772497714
Kallakurichi,34,Rural,53,Female,2,2,4,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,13983.0,Other Backward Class,train,1156482,0.4565778351980685,0.42236698194414374
Kallakurichi,34,Rural,54,Female,2,7,5,Self-employed in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,8375.0,Scheduled Caste,train,2901441,1.1454857496570798,1.0596558169163017
Kallakurichi,34,Rural,49,Female,2,2,4,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,12433.0,Other Backward Class,train,1379384,0.5445793022518747,0.5037746000560673
Kallakurichi,34,Rural,47,Female,2,2,3,Self-employed in agriculture,Literate,Below Primary,Employed,Employed,0.0,8850.0,Scheduled Caste,validation,574168,0.2266809016309848,0.20969596179525934
Kallakurichi,34,Rural,56,Female,2,2,5,Self-employed in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,9008.0,Scheduled Caste,holdout,2072458,0.8182041632977587,0.7568970642569415
Kallakurichi,34,Rural,46,Female,2,2,4,Casual labour in agriculture,Literate,Secondary,Employed,Employed,0.0,8367.0,Other Backward Class,train,1625052,0.6415687613333295,0.5934967502670121
Kallakurichi,34,Rural,55,Female,2,2,4,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9067.0,Scheduled Caste,train,1625052,0.6415687613333295,0.5934967502670121
Kallakurichi,34,Rural,23,Female,1,5,4,Casual labour in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8600.0,Scheduled Caste,train,1717200,0.6779486914643922,0.6271507739804715
Kallakurichi,34,Rural,20,Female,2,2,3,Self-employed in non-agriculture,Literate,Secondary,Employed,Employed,0.0,9725.0,Other Backward Class,holdout,4676861,1.8464196337705852,1.7080695294369217
Kallakurichi,34,Rural,19,Female,1,5,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,8317.0,Scheduled Caste,train,5526554,2.181877505594749,2.018391927873789
Kallakurichi,34,Rural,21,Female,2,4,4,Casual labour in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,6258.0,Scheduled Tribe,holdout,5514875,2.1772666491030104,2.0141265575678737
Kallakurichi,34,Rural,21,Female,1,5,3,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,4155.0,Scheduled Tribe,validation,5514875,2.1772666491030104,2.0141265575678737
Kallakurichi,34,Rural,20,Female,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,13967.0,Other Backward Class,validation,2286374,0.9026579673294947,0.8350228416659833
Kallakurichi,34,Rural,17,Female,1,6,7,Casual labour in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,10888.0,Scheduled Tribe,train,7436731,2.936013306675216,2.7160211987739142
Kallakurichi,34,Rural,24,Female,2,2,5,Self-employed in non-agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,8375.0,Scheduled Caste,train,2901441,1.1454857496570798,1.0596558169163017
Kallakurichi,34,Rural,20,Female,1,5,5,Casual labour in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,8833.0,Scheduled Caste,train,622184,0.24563756618336907,0.22723222522610392
Kallakurichi,34,Rural,17,Female,1,5,5,Casual labour in agriculture,Literate,Secondary,Not in labour force,Not in labour force,0.0,8833.0,Scheduled Caste,train,622184,0.24563756618336907,0.22723222522610392
Kallakurichi,34,Rural,15,Female,1,5,4,Casual labour in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8367.0,Other Backward Class,train,1625052,0.6415687613333295,0.5934967502670121
Kallakurichi,34,Rural,23,Female,1,5,4,Self-employed in non-agriculture,Literate,Diploma/Certificate,Employed,Employed,12000.0,13300.0,Scheduled Caste,train,156293,0.0617043063330097,0.057080873467114976
Kallakurichi,34,Rural,19,Female,1,5,4,Self-employed in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,13300.0,Scheduled Caste,train,156293,0.0617043063330097,0.057080873467114976
Kallakurichi,34,Rural,29,Female,2,4,6,Casual labour in non-agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,12817.0,Other Backward Class,holdout,2903525,1.1463085105894184,1.0604169293161243
Kallakurichi,34,Rural,30,Female,2,2,4,Casual labour in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,9917.0,Scheduled Caste,train,1717200,0.6779486914643922,0.6271507739804715
Kallakurichi,34,Rural,38,Female,2,2,4,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,9383.0,Other Backward Class,train,4676861,1.8464196337705852,1.7080695294369217
Kallakurichi,34,Rural,41,Female,2,2,4,Self-employed in agriculture,Literate,Middle,Employed,Employed,0.0,8317.0,Scheduled Caste,train,5526554,2.181877505594749,2.018391927873789
Kallakurichi,34,Rural,39,Female,2,2,4,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,8903.0,Other Backward Class,train,10315390,4.072504747522057,3.7673566401178755
Kallakurichi,34,Rural,43,Female,2,2,4,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,13967.0,Other Backward Class,train,2286374,0.9026579673294947,0.8350228416659833
Kallakurichi,34,Rural,35,Female,2,1,5,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,9067.0,Other Backward Class,train,3701995,1.4615435977508284,1.352031813138735
Kallakurichi,34,Rural,36,Female,2,4,7,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,10888.0,Scheduled Tribe,train,7436731,2.936013306675216,2.7160211987739142
Kallakurichi,34,Rural,42,Female,2,2,4,Casual labour in non-agriculture,Literate,Primary,Employed,Employed,0.0,8067.0,Scheduled Caste,train,2901441,1.1454857496570798,1.0596558169163017
Kallakurichi,34,Rural,30,Female,2,2,4,Regular wage/salary earning,Literate,Diploma/Certificate,Employed,Employed,25400.0,11158.0,Scheduled Caste,train,1148336,0.4533618032619696,0.4193919235905187
Kallakurichi,34,Rural,42,Female,2,4,5,Regular wage/salary earning,Literate,Secondary,Employed,Employed,0.0,10117.0,Scheduled Caste,holdout,8597049,3.3941055904992203,3.1397891534463302
Kallakurichi,34,Rural,36,Female,2,2,4,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,9183.0,Scheduled Tribe,validation,746731,0.29480858626013107,0.2727189171938106
Kallakurichi,34,Rural,43,Female,2,2,3,Self-employed in non-agriculture,Illiterate,Not literate,Employed,Employed,0.0,9403.0,Other Backward Class,holdout,1379384,0.5445793022518747,0.5037746000560673
Kallakurichi,34,Rural,43,Female,2,2,3,Casual labour in agriculture,Literate,Secondary,Employed,Employed,0.0,9933.0,Other Backward Class,validation,426973,0.16856847579817488,0.15593783334426034
Kallakurichi,34,Rural,42,Female,2,2,3,Self-employed in agriculture,Literate,Primary,Employed,Employed,0.0,11283.0,Other Backward Class,train,426973,0.16856847579817488,0.15593783334426034
Kallakurichi,34,Rural,25,Female,2,2,4,Self-employed in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8733.0,Other Backward Class,train,7113637,2.808456147043259,2.598021750737316
Kallakurichi,34,Rural,41,Female,2,2,5,Casual labour in agriculture,Literate,Primary,Employed,Employed,0.0,8833.0,Scheduled Caste,train,622184,0.24563756618336907,0.22723222522610392
Kallakurichi,34,Rural,36,Female,2,2,3,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,11087.0,Other Backward Class,validation,367971,0.14527455039997894,0.13438929504563712
Kallakurichi,34,Rural,25,Female,2,2,4,Casual labour in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,15313.0,Other Backward Class,train,367971,0.14527455039997894,0.13438929504563712
Kallakurichi,34,Rural,36,Female,2,2,2,Self-employed in agriculture,Literate,Secondary,Employed,Employed,0.0,8483.0,Other Backward Class,holdout,1442948,0.5696743002860248,0.5269892586848204
Kallakurichi,34,Rural,44,Female,2,2,3,Self-employed in agriculture,Illiterate,Not literate,Employed,Employed,0.0,9358.0,Scheduled Caste,train,1442948,0.5696743002860248,0.5269892586848204
Kallakurichi,34,Rural,40,Female,2,2,5,Casual labour in agriculture,Illiterate,Not literate,Employed,Employed,0.0,13125.0,Scheduled Caste,train,574168,0.2266809016309848,0.20969596179525934
Kallakurichi,34,Rural,30,Female,2,2,4,Self-employed in agriculture,Literate,Higher Secondary,Employed,Employed,0.0,9517.0,Other Backward Class,train,2631921,1.0390795469296847,0.9612225088547965
Kallakurichi,34,Rural,28,Female,2,4,5,Regular wage/salary earning,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,13842.0,Other Backward Class,train,2631921,1.0390795469296847,0.9612225088547965
Kallakurichi,34,Rural,26,Female,2,4,4,Regular wage/salary earning,Literate,Middle,Not in labour force,Not in labour force,0.0,9067.0,Scheduled Caste,train,1625052,0.6415687613333295,0.5934967502670121
Kallakurichi,34,Rural,36,Female,2,2,3,Casual labour in non-agriculture,Literate,Higher Secondary,Employed,Employed,0.0,8900.0,Scheduled Tribe,validation,156293,0.0617043063330097,0.057080873467114976
Kallakurichi,34,Rural,9,Female,1,6,6,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,12817.0,Other Backward Class,train,2903525,1.1463085105894184,1.0604169293161243
Kallakurichi,34,Rural,6,Female,1,6,6,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,12817.0,Other Backward Class,train,2903525,1.1463085105894184,1.0604169293161243
Kallakurichi,34,Rural,7,Female,1,5,4,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9917.0,Scheduled Caste,train,1717200,0.6779486914643922,0.6271507739804715
Kallakurichi,34,Rural,5,Female,1,5,4,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9917.0,Scheduled Caste,holdout,1717200,0.6779486914643922,0.6271507739804715
Kallakurichi,34,Rural,2,Female,1,5,3,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9725.0,Other Backward Class,train,4676861,1.8464196337705852,1.7080695294369217
Kallakurichi,34,Rural,11,Female,1,5,4,Casual labour in non-agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,8903.0,Other Backward Class,train,10315390,4.072504747522057,3.7673566401178755
Kallakurichi,34,Rural,9,Female,1,5,5,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9067.0,Other Backward Class,validation,3701995,1.4615435977508284,1.352031813138735
Kallakurichi,34,Rural,8,Female,1,5,5,Casual labour in non-agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9067.0,Other Backward Class,train,3701995,1.4615435977508284,1.352031813138735
Kallakurichi,34,Rural,3,Female,1,5,5,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,9067.0,Other Backward Class,train,3701995,1.4615435977508284,1.352031813138735
Kallakurichi,34,Rural,14,Female,1,6,7,Casual labour in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,10888.0,Scheduled Tribe,train,7436731,2.936013306675216,2.7160211987739142
Kallakurichi,34,Rural,11,Female,1,5,4,Regular wage/salary earning,Literate,Primary,Not in labour force,Not in labour force,0.0,11158.0,Scheduled Caste,train,1148336,0.4533618032619696,0.4193919235905187
Kallakurichi,34,Rural,13,Female,1,5,4,Casual labour in non-agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,9183.0,Scheduled Tribe,train,746731,0.29480858626013107,0.2727189171938106
Kallakurichi,34,Rural,4,Female,1,5,4,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,8733.0,Other Backward Class,train,7113637,2.808456147043259,2.598021750737316
Kallakurichi,34,Rural,0,Female,1,5,4,Self-employed in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,8733.0,Other Backward Class,train,7113637,2.808456147043259,2.598021750737316
Kallakurichi,34,Rural,14,Female,1,5,5,Casual labour in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,8833.0,Scheduled Caste,train,622184,0.24563756618336907,0.22723222522610392
Kallakurichi,34,Rural,3,Female,1,5,4,Casual labour in non-agriculture,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,15313.0,Other Backward Class,train,367971,0.14527455039997894,0.13438929504563712
Kallakurichi,34,Rural,11,Female,1,5,5,Casual labour in agriculture,Literate,Primary,Not in labour force,Not in labour force,0.0,13125.0,Scheduled Caste,validation,574168,0.2266809016309848,0.20969596179525934
Kallakurichi,34,Rural,8,Female,1,5,4,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9517.0,Other Backward Class,train,2631921,1.0390795469296847,0.9612225088547965
Kallakurichi,34,Rural,6,Female,1,5,4,Self-employed in agriculture,Literate,Below Primary,Not in labour force,Not in labour force,0.0,9517.0,Other Backward Class,validation,2631921,1.0390795469296847,0.9612225088547965
Kallakurichi,34,Rural,1,Female,1,6,5,Regular wage/salary earning,Illiterate,Not literate,Not in labour force,Not in labour force,0.0,13842.0,Other Backward Class,train,2631921,1.0390795469296847,0.9612225088547965
Kallakurichi,34,Rural,13,Female,1,6,6,Self-employed in agriculture,Literate,Middle,Not in labour force,Not in labour force,0.0,17400.0,Scheduled Caste,holdout,2488888,0.9826102741680807,0.9089844139009479
Kallakurichi,34,Rural,24,Male,2,1,3,Self-employed in non-agriculture,Literate,Primary,Employed,Employed,0.0,9725.0,Other Backward Class,train,4676861,1.8464196337705852,1.8523003371150017
Kallakurichi,34,Rural,18,Male,1,5,4,Casual labour in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,9383.0,Other Backward Class,train,4676861,1.8464196337705852,1.8523003371150017
Kallakurichi,34,Rural,22,Male,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,8317.0,Scheduled Caste,train,5526554,2.181877505594749,2.1888266162462946
Kallakurichi,34,Rural,22,Male,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Not in labour force,Not in labour force,0.0,13967.0,Other Backward Class,validation,2286374,0.9026579673294947,0.9055328629546558
Kallakurichi,34,Rural,20,Male,1,5,3,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,7550.0,Other Backward Class,train,3701995,1.4615435977508284,1.466198500767513
Kallakurichi,34,Rural,24,Male,1,5,4,Self-employed in agriculture,Literate,Diploma/Certificate,Unemployed,Unemployed,0.0,13983.0,Other Backward Class,train,1156482,0.4565778351980685,0.4580320001957363
Kallakurichi,34,Rural,20,Male,1,5,4,Self-employed in agriculture,Literate,Higher Secondary,Not in labour force,Not in labour force,0.0,13983.0,Other Backward Class,train,1156482,0.4565778351980685,0.4580320001957363
